X_05%,X_68%,X_95%,Template
10109,14089,15041,4
9640,13551,15529,4
10014,15887,17080,4
10309,16432,17508,4
10464,15912,17257,4
10519,16080,17308,4
10540,16096,16545,4
10409,14745,15529,4
10021,14313,15980,4
10167,16202,17380,4
10515,16086,17343,4
10571,16066,17288,4
10514,16007,17276,4
10813,15976,16354,4
10256,14806,15541,4
9724,13747,15004,4
9684,15743,17667,4
10451,16099,17836,4
10386,15784,17837,4
10860,16197,18070,4
10603,15979,17276,4
10588,14478,15665,4
9951,13506,15922,4
9876,15858,18328,4
11269,16614,18946,4
11988,17086,18688,4
11427,16343,17882,4
10922,17095,18388,4
11508,15855,17168,4
11592,14891,17173,4
11190,16512,18359,4
11181,16590,18334,4
11318,16510,18207,4
10897,16388,17867,4
10491,15829,17084,4
10674,14829,16232,4
10251,14800,16697,4
10414,16220,18236,4
11065,16297,17957,4
10762,16629,17669,4
9798,13442,14980,4
10274,14858,16735,4
10992,14635,16216,4
10262,15136,16717,4
10353,16304,18784,4
11233,16660,18704,4
10856,17171,18611,4
11132,16558,18883,4
11541,17036,18387,4
11569,15563,17408,4
10865,14363,17686,4
11665,18005,20552,4
12194,18169,20010,4
11417,16646,18991,4
11353,16912,19198,4
11322,17361,18692,4
10853,15690,17219,4
10534,15099,18130,4
11154,17131,19813,4
11826,17588,20818,4
13024,18520,21033,4
13229,18386,20276,4
12174,17460,19608,4
12627,16686,18350,4
11870,15558,18418,4
12156,19640,22564,4
14603,19618,21218,4
13269,18305,19661,4
11699,16906,18260,4
10784,16160,17430,4
11889,15197,16189,4
11987,16712,19031,4
12636,18094,20789,4
13834,18616,20344,4
12688,17631,19199,4
11870,16929,18784,4
11781,15883,17411,4
10599,14003,16452,4
11151,15258,17864,4
10950,16356,18447,4
10996,16680,18790,4
11410,17704,19790,4
12506,18570,19988,4
12026,17122,18618,4
11967,16872,18172,4
11832,15600,18071,4
11708,17698,19409,4
12027,17472,19712,4
12294,18049,19538,4
11881,17392,18821,4
10989,17101,18372,4
12050,16298,17930,4
12360,16491,18278,4
12744,18455,20767,4
14124,19819,22006,4
15063,20064,21364,4
13544,18591,20540,4
14138,19778,21204,4
15134,19018,20695,4
13814,18212,20433,4
14671,19528,21095,4
13930,18715,20424,4
13462,19430,21120,4
14135,19485,21210,4
15064,19699,20312,4
14476,17460,18412,4
12685,15908,18085,4
12751,18223,19854,4
13587,18477,19563,4
13423,18290,19430,4
13079,18103,19388,4
12324,17499,18118,4
12060,15196,16363,4
11468,14845,16573,4
11647,16931,18285,4
11830,17103,18402,4
11616,16676,17937,4
11422,17721,19290,4
12368,17548,18270,4
12283,15729,16824,4
11725,15060,17460,4
12234,17804,19157,4
11783,16423,17949,4
11531,16671,18421,4
11829,17085,18624,4
12394,17544,18776,4
13235,16528,17614,4
12611,15511,17286,4
12404,18010,19102,4
12419,17483,18567,4
12167,17104,18738,4
12940,17843,19242,4
13030,17678,18317,4
12936,16090,17060,4
12331,15440,17759,4
12540,17841,19244,4
12580,17836,19005,4
12408,17445,19092,4
12858,17831,19439,4
13257,17709,18252,4
12743,15693,16670,4
11808,15017,17155,4
11462,16667,18069,4
11334,17619,19653,4
13608,18675,19983,4
13675,18130,19342,4
13228,17836,18418,4
12024,16320,17202,4
11860,14902,17091,4
11993,17080,18597,4
12213,16974,18223,4
12041,16841,18151,4
12079,16793,17938,4
11959,16474,17045,4
11652,14711,15776,4
11306,14559,16468,4
11065,16703,18114,4
11730,16300,17396,4
11295,16693,18337,4
11870,17080,17886,4
11687,15840,16632,4
11345,14606,15922,4
10990,13728,15030,4
10743,17584,18405,4
11232,16608,17713,4
11109,15837,17093,4
11002,15924,17127,4
10778,15743,16267,4
10503,15563,16105,4
10235,14244,15813,4
10584,16226,16925,4
10939,15769,16165,4
10408,15581,16229,4
10167,15666,16340,4
10219,15310,15876,4
10133,13451,14249,4
9974,13163,14320,4
9792,15487,16159,4
10674,15869,16553,4
10740,15718,16109,4
10578,15552,15860,4
10599,15491,15946,4
10487,13617,14194,4
9937,12965,13718,4
9710,15292,15649,4
10103,15566,15904,4
9988,16249,16568,4
10177,15102,15611,4
10170,15072,15552,4
9896,14489,14802,4
9648,13562,14027,4
9900,15619,16054,4
10467,15480,15818,4
10043,16347,16466,4
10226,15663,16031,4
10480,15281,15772,4
9846,14470,14693,4
9613,13619,14058,4
9910,15611,15932,4
10258,15416,15768,4
10234,15417,15644,4
10357,15434,15784,4
10235,15217,15654,4
10030,14277,14935,4
9961,13341,14028,4
9878,15608,16121,4
10021,15694,15996,4
9961,15993,16344,4
10046,15450,15900,4
10129,15026,15605,4
9710,13388,14063,4
9396,13580,14289,4
9655,15649,16132,4
9985,15545,15889,4
9984,15453,15806,4
9963,15474,15795,4
9953,15205,15720,4
9783,13634,14017,4
9591,13480,13982,4
9725,16037,16205,4
10148,16370,16479,4
10450,16522,16695,4
10403,16090,16409,4
10236,15481,16030,4
9787,13566,14043,4
9392,13134,13344,4
9310,13618,14060,4
9561,16078,16465,4
10043,16014,16318,4
10068,16345,16688,4
10127,16259,17014,4
10190,15548,15819,4
10183,16831,17381,4
11129,18003,18597,4
11226,19874,20989,4
11837,20771,22021,4
12536,21171,22142,4
12688,20484,21797,4
12468,20191,21014,4
12531,20407,20840,4
13732,23830,25143,4
14593,21572,22837,4
11814,16669,17195,4
10505,16415,16689,4
10498,16542,17100,4
10248,14470,15002,4
9801,13821,14425,4
9965,17415,18031,4
10604,18672,19692,4
11471,18152,18494,4
10648,17397,18110,4
10846,19200,20322,4
11820,20701,21851,4
12701,21191,22385,4
13686,22983,24287,4
14216,21553,22081,4
13652,21553,23384,4
13317,20595,21715,4
12464,19355,20018,4
12062,17121,17362,4
10252,15305,15677,4
10286,15692,16265,4
10763,20285,21438,4
12973,19223,20108,4
11320,17039,17521,4
10842,16508,17295,4
10222,15492,15700,4
10367,17488,18757,4
12471,22817,24129,4
13313,20382,21679,4
12135,19161,19826,4
12485,21479,22547,4
13674,21970,23565,4
13228,20004,20664,4
13084,19359,19863,4
14144,23051,24188,4
14925,24458,26648,4
14945,24070,24967,4
13901,22664,24083,4
13669,23514,24888,4
13280,18659,18929,4
11141,17254,18117,4
12540,21567,22757,4
13779,24052,25480,4
15632,24785,26876,4
13726,19193,19852,4
11752,19590,20380,4
12354,17665,18241,4
11619,16526,16815,4
11825,20388,21370,4
12835,22698,24127,4
13834,23237,24695,4
13961,23030,24468,4
14544,23607,25802,4
12987,18546,19129,4
11758,18775,19313,4
13076,23115,24348,4
14653,22350,23333,4
13722,23220,24721,4
14413,23900,25276,4
14198,22524,24080,4
14578,23154,24025,4
14849,20439,22325,4
13457,18924,19637,4
11668,18651,19428,4
12028,20019,21062,4
11818,18314,19083,4
11458,17777,18990,4
11567,17549,17833,4
12290,20034,20948,4
12899,20717,21990,4
11882,18846,19747,4
11670,18049,18766,4
11068,18235,18891,4
11276,18583,19659,4
11326,17386,17769,4
11591,17747,18511,4
13002,21913,22959,4
13923,20976,21190,4
13781,22468,22697,4
13485,20618,21749,4
11982,19832,21046,4
11588,16676,16897,4
10710,15633,15740,4
10387,15482,16457,4
10375,18049,18644,4
10861,18651,19379,4
11153,19313,20069,4
11760,17641,18243,4
10567,15080,15320,4
9846,14383,15892,4
10546,20103,21337,4
12381,21148,22149,4
12591,21621,22399,4
13621,20575,20788,4
12798,18644,19274,4
11524,16904,16986,4
10842,15844,16727,4
10632,18664,19261,4
11296,18870,19019,4
11304,18365,18911,4
10968,18695,19339,4
11657,18314,19162,4
10412,14408,14764,4
9604,13962,15353,4
10311,17723,18465,4
11302,17027,17391,4
10179,16553,16724,4
10355,16809,17419,4
10092,15629,15942,4
9906,14081,14633,4
9564,14125,15458,4
9900,17022,17492,4
10405,17332,17753,4
10570,17748,18195,4
10927,18032,18443,4
11375,18383,18963,4
11609,16797,17390,4
10126,14111,15337,4
9889,15936,17035,4
10062,16503,17473,4
10322,16497,17482,4
10382,16588,17473,4
10408,16512,16855,4
10489,15176,15703,4
9959,14093,15960,4
10088,15987,17393,4
10357,16266,17467,4
10277,16119,17358,4
10239,15877,17180,4
10440,15817,16400,4
10355,14989,15766,4
10068,14477,16094,4
10338,16474,17875,4
10739,17088,18088,4
10954,16538,17849,4
11045,16470,17804,4
10952,16421,16951,4
10926,15301,16087,4
10605,13968,16140,4
10256,15972,16852,4
10410,16104,17920,4
10314,15962,17896,4
10720,16117,17772,4
10309,15822,16898,4
9962,14156,15481,4
9658,14134,16236,4
9891,15808,17982,4
10399,15826,17768,4
10558,16264,18279,4
10527,16164,17922,4
11142,16202,17514,4
11388,14795,16160,4
10564,13734,16210,4
10051,15890,17783,4
10567,16726,18266,4
10568,16449,18048,4
10435,16120,18427,4
11501,16842,18254,4
11762,15464,16859,4
11094,14245,16710,4
10721,16329,18267,4
10624,17316,18808,4
11586,17545,19111,4
11620,14704,16595,4
11563,15987,17804,4
12053,15935,17373,4
11227,15016,17570,4
10933,16973,18976,4
10782,16461,18411,4
10468,16744,18430,4
10838,16481,18846,4
11148,16870,18751,4
11985,16250,18160,4
11850,16577,18894,4
12190,17979,20549,4
12307,17899,20378,4
12721,18131,21080,4
13458,18513,20429,4
12885,19013,20004,4
12389,16290,18085,4
11883,15388,18620,4
12023,17557,20463,4
13031,18838,21545,4
14085,19539,21726,4
14281,19536,21010,4
13004,18671,19756,4
12246,16396,18396,4
12288,16078,18868,4
12484,18346,21157,4
13266,18620,20955,4
13278,18749,20939,4
13239,18590,20401,4
12395,17051,18620,4
11177,15164,16250,4
10943,14251,15091,4
10293,15680,17636,4
11606,17086,19317,4
12178,17229,18967,4
11182,17052,18350,4
10862,16456,18306,4
11940,16467,18189,4
11714,15354,17511,4
11449,15967,18540,4
11712,18196,20017,4
12414,17790,19765,4
12141,17818,19418,4
11870,17370,18842,4
12256,16290,18111,4
12100,15897,18135,4
11863,17459,18995,4
11639,16926,18961,4
11836,17105,18756,4
11081,16324,18201,4
11330,16671,17620,4
10620,15381,16510,4
11146,16932,19296,4
13807,18996,20491,4
13421,18241,19620,4
11975,17152,18616,4
11856,17111,18625,4
11792,16524,17373,4
10852,14899,16403,4
11328,15135,17546,4
11638,18033,19519,4
12013,17104,18776,4
11788,17054,18848,4
12003,17490,19322,4
12920,17625,18432,4
11871,15216,16310,4
11083,14949,17239,4
10899,17106,18966,4
11667,17733,19448,4
12055,17040,18773,4
11820,17023,18119,4
11321,16942,17356,4
10866,15008,16474,4
10444,14674,16492,4
11119,17023,18889,4
12168,17270,18957,4
12519,17634,19107,4
12668,17799,19070,4
12925,18022,18624,4
12569,16151,17465,4
12277,17373,18934,4
12845,18045,19190,4
12550,17247,18293,4
12017,16723,17831,4
11396,16477,17446,4
11004,16335,17244,4
11912,16370,18093,4
13337,16296,17790,4
12924,17050,18373,4
12635,17568,18494,4
12286,16974,17885,4
11976,17128,18043,4
11884,17135,18189,4
12661,16566,17439,4
12588,16115,18731,4
13475,18745,20238,4
13756,18378,19690,4
13135,17935,18975,4
12719,18034,19164,4
12720,17795,18850,4
12995,15968,17010,4
11969,14911,17063,4
11869,16987,18443,4
12195,17029,18279,4
11910,16911,18017,4
11529,16919,18030,4
11257,16050,16660,4
10394,14047,15140,4
10394,14359,15982,4
10384,16244,17321,4
10515,16015,17325,4
11223,16542,18322,4
11826,16635,17906,4
11841,16428,17263,4
11975,15287,16433,4
11582,15027,17065,4
11794,17254,18793,4
12373,16921,17921,4
11658,16640,18028,4
11606,16276,17182,4
10904,15981,16613,4
10949,14938,15817,4
10600,14108,16142,4
10762,15867,17017,4
10922,15679,16885,4
10960,15627,16557,4
10577,15532,16387,4
10396,15349,15732,4
9809,13999,14860,4
9691,13086,14595,4
10053,15683,16502,4
10447,16310,16880,4
11069,16482,17071,4
11233,15938,16350,4
10908,15714,15974,4
10239,14665,15240,4
10630,13684,14688,4
10468,15593,15930,4
10438,15417,15652,4
10242,15383,15879,4
10016,15395,15817,4
9768,14622,14995,4
9472,13620,14011,4
9171,12295,12844,4
9402,14874,15380,4
9908,15206,15477,4
9869,15171,15559,4
9870,15242,15576,4
9787,14608,15233,4
9832,13772,14454,4
9782,14192,14999,4
9936,15810,16175,4
10172,15391,15792,4
10078,15065,15459,4
10130,15160,15518,4
9952,14900,15333,4
10031,13187,13842,4
9653,12930,13593,4
9653,15319,15613,4
10048,15911,16164,4
10205,15956,16215,4
10096,15715,16045,4
9933,15786,16206,4
9725,13565,14168,4
9358,12875,13611,4
9537,15322,15729,4
9887,15749,16068,4
10125,15763,15980,4
10038,15576,15900,4
10025,15651,16190,4
9857,14257,14691,4
9681,13810,14377,4
10013,16245,16305,4
10155,16000,16329,4
10143,15577,15914,4
9993,15991,16312,4
9993,15541,16255,4
9843,13575,14185,4
9480,13443,14013,4
9790,15458,15856,4
10117,15520,15861,4
10071,15698,16024,4
9954,15998,16405,4
10124,16389,16909,4
10168,15079,15314,4
9774,14685,14892,4
10006,15907,16665,4
10911,18528,19373,4
10824,18013,18876,4
11204,19644,20756,4
11878,17518,18235,4
10379,14539,15165,4
9576,13835,14094,4
9745,16194,16509,4
10102,16616,16993,4
10364,16410,16702,4
10130,16183,16410,4
10233,16204,16587,4
10099,14132,14966,4
9565,13900,14526,4
9945,17206,17633,4
10822,18349,19060,4
11240,18188,19054,4
10985,17374,18048,4
10714,18204,19259,4
10996,16559,16870,4
10824,19447,19972,4
12986,22406,24069,4
13020,21149,22248,4
11956,19357,20230,4
11689,20142,21057,4
12903,20509,22140,4
12313,16596,17508,4
11224,16065,16268,4
11497,19727,20508,4
12744,20973,22141,4
13004,19952,20199,4
12765,20067,21017,4
12287,19330,19937,4
10953,16908,17554,4
11284,18369,18823,4
12850,20061,21048,4
12231,18418,19429,4
12697,19898,20149,4
12085,18208,19030,4
11088,18639,19434,4
11413,17628,18120,4
11249,18431,19059,4
12137,20859,22130,4
12948,21054,22085,4
13111,20611,21417,4
13226,19808,20554,4
12183,22181,23855,4
13187,19831,20903,4
12706,21419,22227,4
14182,25321,26652,4
15655,26018,27231,4
14773,21632,22880,4
12887,20089,21065,4
13353,21702,23369,4
13576,18457,19079,4
12781,17110,17302,4
11487,19857,21011,4
12477,21674,22941,4
13279,22771,24279,4
13934,23859,25277,4
15195,23331,25302,4
13190,21133,22431,4
13655,19933,20837,4
12797,22599,23681,4
14677,25873,27319,4
16922,26421,28122,4
16844,25350,27048,4
14443,21050,21686,4
12818,19044,19696,4
11463,17328,18030,4
12659,22084,22993,4
14297,21044,21821,4
11890,19177,20248,4
11957,19873,20975,4
11954,17711,18367,4
10586,14932,15201,4
10009,14570,15046,4
10477,18874,19524,4
12761,19336,19869,4
11881,19656,20501,4
12025,19572,20522,4
12156,19118,20333,4
11659,17622,17970,4
12030,18453,18865,4
12050,18851,19188,4
11394,19246,20139,4
11969,19043,19996,4
11577,18027,18792,4
11353,16865,17717,4
10579,14788,15334,4
10065,14334,15032,4
10422,17659,17858,4
11033,17140,17526,4
10730,17714,18182,4
10572,16880,17165,4
10447,16141,16927,4
10223,14145,14633,4
9859,14384,14982,4
9920,14611,15678,4
10074,17036,17290,4
10723,17327,17568,4
10752,17789,18174,4
10830,17485,18159,4
10759,16480,16717,4
10357,14281,15310,4
9934,16049,16382,4
10020,16023,16232,4
10113,16108,16461,4
10326,16809,17025,4
10583,16585,17172,4
10306,15371,15779,4
10059,15305,16544,4
10532,18513,19011,4
11154,18695,18952,4
11061,16900,17237,4
10228,15953,16195,4
10034,15652,16067,4
10102,14908,15456,4
10250,15544,16066,4
