X_05%,X_68%,X_95%,Template
10114,14174,15134,1
9640,13560,15598,1
10014,15887,17205,1
10309,16432,17763,1
10464,16034,17308,1
10519,16121,17483,1
10540,16145,16879,1
10409,14745,15806,1
10021,14313,16100,1
10167,16206,17709,1
10515,16086,17470,1
10571,16142,17288,1
10514,16007,17348,1
10813,15985,16691,1
10256,14806,15800,1
9724,13766,15550,1
9684,15743,17785,1
10451,16099,17836,1
10386,15784,17837,1
10860,16251,18255,1
10603,15988,17555,1
10692,14548,15882,1
9951,13548,16051,1
9876,15858,18431,1
11269,16614,19044,1
11988,17086,18926,1
11427,16345,18095,1
10922,17095,18775,1
11508,15919,17378,1
11592,14900,17250,1
11190,16542,18359,1
11181,16662,18587,1
11318,16559,18424,1
10897,16391,18134,1
10491,15829,17444,1
10768,14848,16232,1
10251,14850,16854,1
10414,16234,18390,1
11065,16297,18139,1
10762,16662,18023,1
9798,13446,15188,1
10274,14874,16735,1
10992,14680,16428,1
10262,15167,16717,1
10353,16359,18828,1
11233,16660,18840,1
10856,17171,18807,1
11132,16560,18883,1
11541,17161,18668,1
11569,15647,17645,1
10865,14380,17686,1
11665,18031,20720,1
12194,18171,20010,1
11417,16679,18991,1
11353,16912,19338,1
11322,17390,19103,1
10853,15818,17513,1
10534,15298,18150,1
11154,17208,19875,1
11826,17606,20848,1
13024,18593,21111,1
13229,18391,20418,1
12174,17460,19608,1
12627,16686,18350,1
11870,15644,18418,1
12156,19640,22635,1
14603,19618,21387,1
13269,18307,19751,1
11699,16906,18260,1
10784,16160,18090,1
11889,15210,16199,1
11987,16917,19161,1
12636,18120,20791,1
13834,18715,20532,1
12688,17684,19436,1
11870,17015,18784,1
11876,16044,17671,1
10599,14014,16473,1
11151,15456,18119,1
10950,16437,18447,1
10996,16710,18938,1
11410,17704,19790,1
12506,18570,20314,1
12026,17122,18618,1
11967,16946,18438,1
11832,15600,18128,1
11708,17768,19448,1
12027,17480,19797,1
12294,18049,19781,1
