X_05%,X_68%,X_95%,Template
10109,14174,15134,3
9640,16577,21052,3
10321,15887,17080,3
10309,16502,23463,3
10517,16863,20811,3
10519,16254,18662,3
10540,16545,23023,3
11437,14781,15529,3
10021,14313,16100,3
10167,17380,23081,3
10515,20078,24364,3
10571,18386,24017,3
10880,16144,20839,3
10813,15985,16691,3
10256,20141,22731,3
9724,13766,19369,3
9684,17177,24322,3
10451,16227,18079,3
10386,16410,17908,3
10860,16197,18255,3
10603,16071,19082,3
10588,19552,22273,3
9951,14502,19700,3
9876,17818,22001,3
11269,18946,23141,3
11988,17086,18688,3
11765,17882,23193,3
10922,20989,25710,3
11508,16800,22800,3
11592,14900,19642,3
11302,16512,18359,3
11181,16669,22752,3
11318,17536,23051,3
10916,18137,23289,3
10800,15948,17084,3
10674,17641,22187,3
10251,15845,19613,3
10414,18464,22223,3
11065,17131,18139,3
10762,16629,17669,3
9798,14324,19277,3
10274,16288,21816,3
10992,17295,21585,3
10262,16210,19792,3
10353,18199,24056,3
11233,16660,18704,3
10856,22078,26287,3
11132,16747,20189,3
11754,17812,21056,3
11643,15647,17408,3
10865,19886,24294,3
11752,20051,24196,3
12194,24503,27355,3
11738,18527,24037,3
11353,20409,23492,3
11322,18862,22747,3
11032,16625,20222,3
10534,15099,18130,3
11207,23424,25587,3
11830,20848,24651,3
13024,19630,26088,3
13229,18386,20276,3
12174,18507,23608,3
12627,16917,24350,3
11870,15558,18475,3
12156,20975,28999,3
14603,19752,21387,3
13269,19465,25761,3
11818,18545,21800,3
11796,20722,24317,3
11889,15210,18872,3
11987,17952,26059,3
12636,18094,20789,3
13834,18994,24254,3
12688,17631,21702,3
11937,17099,20536,3
11781,16754,20359,3
10599,15965,21274,3
11151,18230,22102,3
10950,22159,25366,3
10996,16710,22621,3
11410,19790,25580,3
12506,20687,24829,3
12026,17593,20207,3
11967,18638,25004,3
11832,20583,23921,3
11708,21162,26534,3
12693,19712,24253,3
12294,18111,19781,3
11881,17392,18821,3
10989,17184,24261,3
12050,16298,17930,3
12360,16491,18278,3
12744,18455,26979,3
14124,21549,28127,3
15063,23626,30198,3
13544,18591,22398,3
14617,25986,30575,3
15134,19018,20695,3
13814,18212,20433,3
14671,20630,27006,3
13930,20203,27193,3
13462,19430,21120,3
14135,19493,21520,3
15064,20174,25209,3
14495,18046,19952,3
12685,19588,24203,3
12751,20224,26549,3
13587,18732,19887,3
13533,18386,19430,3
13079,18103,20940,3
12324,17499,18118,3
12153,16166,19572,3
11805,18774,19969,3
11647,16931,18285,3
11830,17406,21978,3
11616,17778,23897,3
11422,22585,26888,3
12368,18938,25131,3
12283,20468,24209,3
12120,17460,21061,3
12234,17851,25218,3
11783,16573,23912,3
11531,20880,25553,3
11985,17186,18624,3
12394,24018,26839,3
13235,16528,17614,3
12611,20611,22894,3
12404,24182,26971,3
12419,22055,26832,3
12167,21755,25239,3
12940,17843,19627,3
13030,22127,24771,3
12936,16544,23615,3
12331,20709,24908,3
12540,25163,27182,3
12580,19005,22395,3
12928,20569,25758,3
12858,20730,26125,3
13257,19684,22290,3
12743,17218,24610,3
11808,16415,22089,3
11462,18565,22579,3
11334,21756,24522,3
13608,18730,25347,3
13675,18154,19342,3
13820,22634,25273,3
12443,16574,17202,3
11860,14902,17091,3
11993,20510,24873,3
12213,16974,18223,3
12041,18425,22384,3
12079,16793,17938,3
12260,20923,23801,3
11652,16871,21097,3
11306,19828,21410,3
11186,16861,18114,3
11730,16300,17499,3
11295,16693,18601,3
11870,20965,23807,3
11687,15840,16632,3
11345,14972,16045,3
11191,13955,15268,3
10852,18405,23546,3
11934,19325,23096,3
11109,16136,20108,3
11002,15924,17277,3
10778,16096,18734,3
10503,16976,23216,3
10235,17084,21472,3
10584,16925,21258,3
10939,16038,20274,3
10408,18137,22360,3
10167,15773,20835,3
10219,15310,15946,3
10133,16835,19645,3
9974,13474,15018,3
9792,15851,21738,3
11286,19457,21749,3
10989,16369,23312,3
10578,15729,20170,3
10599,15509,16378,3
11285,17319,19238,3
9937,16953,19232,3
9710,17687,20255,3
10103,15626,15955,3
10348,19666,22694,3
10237,17761,19587,3
10356,17023,19903,3
9896,14631,18567,3
9648,18275,20520,3
9900,15810,22902,3
10467,19060,21637,3
10043,16347,16469,3
10226,15663,16031,3
10749,15772,18809,3
9846,16432,20486,3
9613,14805,19554,3
9910,15767,20748,3
10258,16049,22170,3
10234,15417,15644,3
10357,15573,15876,3
10235,15528,20726,3
10030,14755,20620,3
9961,13934,17909,3
10047,20036,22982,3
10021,17632,22219,3
10802,17957,20460,3
10046,15763,18621,3
10341,17882,22204,3
10753,15806,19859,3
9396,16184,18876,3
9655,15924,20904,3
9985,15574,15906,3
9984,15453,15806,3
9963,15474,15795,3
9953,15720,21710,3
9783,13634,14017,3
9591,13480,13982,3
9725,16037,16208,3
10451,16473,18889,3
10450,16710,23652,3
10403,16090,16409,3
10236,18220,22024,3
9787,14043,19182,3
9392,13134,13610,3
9310,13820,14542,3
9561,21306,23742,3
10043,16244,19537,3
10099,16345,16688,3
10127,20147,24890,3
10190,15548,15819,3
10183,16831,17381,3
11129,18535,20035,3
11226,19874,20989,3
11837,20819,22202,3
12536,21171,22142,3
12688,20721,21799,3
12552,24308,27183,3
12531,20407,20840,3
13732,24590,32382,3
14593,21881,22910,3
12105,16681,17195,3
11394,18882,23841,3
10498,16746,23437,3
10279,15478,21343,3
9801,13911,17244,3
9965,17415,21658,3
11098,19692,26414,3
11471,18152,22666,3
10648,18004,22984,3
10846,19957,26575,3
11820,20701,21851,3
12701,21191,22684,3
14485,22983,24287,3
14216,22194,30874,3
13652,22309,23558,3
13317,20595,21715,3
12464,19599,20018,3
12062,17260,23973,3
10895,15653,18650,3
10286,17562,20328,3
10763,20285,21438,3
12973,20106,27989,3
11320,20208,24330,3
11333,17513,24377,3
10222,15576,21353,3
10367,17488,18757,3
12675,26550,31407,3
14533,27159,31397,3
12135,19161,19831,3
12485,23991,31588,3
14463,21970,23565,3
13228,20330,29193,3
13704,19863,24942,3
14144,23931,33697,3
14925,26588,37285,3
14945,24070,34545,3
13901,23780,30694,3
13669,23650,24912,3
13280,18659,24077,3
11141,17254,23527,3
12540,22034,22968,3
13779,29140,36492,3
15989,30692,38938,3
13726,21909,24969,3
11752,23799,26613,3
12354,17665,18241,3
12025,21321,23500,3
11825,23650,28613,3
14301,23130,24268,3
13834,23237,24695,3
13961,24907,35646,3
16148,27628,33421,3
12987,18546,19129,3
12036,23140,27576,3
13076,23115,24348,3
15433,26671,32493,3
13722,23774,24738,3
14413,23900,25276,3
14198,29156,33702,3
15509,25665,34611,3
14849,26489,31818,3
13457,18924,19637,3
11668,18651,19428,3
12028,26085,29582,3
11818,18314,19083,3
11458,22003,25755,3
12193,22548,24843,3
12290,20409,20971,3
12899,21832,27508,3
12119,19747,24083,3
11670,18379,25079,3
11875,22491,27130,3
11428,18583,19659,3
11326,17819,25296,3
11591,17747,18757,3
13002,21913,22959,3
13923,24917,31196,3
13781,22468,29609,3
14532,25491,30374,3
11982,19832,21046,3
12125,20766,23905,3
10710,15722,17525,3
10411,15482,16457,3
10723,18644,23423,3
10861,23264,28397,3
